Left_Node_ID,Right_Node_ID
88278350,88277868
88281569,88278895
88283178,88280589
88278351,88277857
88281570,88278896
88283179,88280590
88278352,88277861
88283180,88280591
88281571,88278897
88278353,88277858
88283181,88280592
88281572,88278898
88278354,88277878
88283182,88280593
88281573,88278899
88278355,88277880
88283183,88280594
88281574,88278900
88278356,88277876
88283184,88280595
88281575,88278901
88278357,88277464
88283185,88280596
88281576,88278902
88278358,88277459
88283186,88280597
88281577,88278903
88283187,88280598
88281578,88278904
88281579,88278905
88283188,88280599
88281580,88278906
88283189,88280600
88281581,88278907
88283190,88280601
88283191,88280602
88281582,88278908
88283192,88280603
88281583,88278909
88283193,88280604
88281584,88278910
88283194,88280605
88281585,88278911
88283195,88280606
88281586,88278912
88283196,88280607
88281587,88278913
88283197,88280608
88281588,88278914
88283198,88280609
88281589,88278915
88281590,88278916
88283199,88280610
88281591,88278917
88283200,88280611
88281592,88278918
88283201,88280612
88283202,88280613
88281593,88278922
88283203,88280614
88281594,88278923
88283204,88280615
88281595,88278924
88283205,88280616
88281596,88278925
88283206,88280617
88281597,88278926
88283207,88280618
88281598,88278927
88283208,88280619
88281599,88278928
88283209,88280620
88281600,88278929
88281601,88278930
88283210,88280621
88281602,88278931
88283211,88280622
88281603,88278932
88283212,88280623
88283213,88280624
88281604,88278933
88283214,88280625
88281605,88278934
88283215,88280626
88281606,88278935
88283216,88280627
88281607,88278936
88283217,88280628
88281608,88278937
88283218,88280629
88281609,88278938
88283219,88280630
88281610,88278939
88283220,88280631
88281611,88278940
88281612,88278941
88283221,88280632
88281613,88278942
88283222,88280633
88281614,88278943
88283223,88280634
88283224,88280635
88281615,88278944
88283225,88280636
88281616,88278945
88283226,88280637
88281617,88278946
88283227,88280638
88281618,88278947
88283228,88280639
88281619,88278948
88283229,88280640
88281620,88278949
88283230,88280641
88281621,88278950
88283231,88280642
88281622,88278951
88281623,88278952
88283232,88280643
88281624,88278953
88283233,88280644
88281625,88278955
88283234,88280645
88283235,88280646
88281626,88278956
88283236,88280647
88281627,88278957
88283237,88280648
88281628,88278958
88283238,88280649
88281629,88278959
88283239,88280650
88281630,88278960
88283240,88280651
88281631,88278961
88283241,88280652
88281632,88278962
88283242,88280653
88281633,88278963
88281634,88278964
88283243,88280654
88281635,88278965
88283244,88280655
88281636,88278966
88283245,88280656
88283246,88280657
88281637,88278967
88283247,88280658
88281638,88278968
88283248,88280659
88281639,88278969
88283249,88280660
88281640,88278970
88283250,88280661
88281641,88278971
88283251,88280662
88281642,88278972
88283252,88280663
88281643,88278973
88283253,88280664
88281644,88278974
88281645,88278975
88283254,88280665
88281646,88278976
88283255,88280666
88281647,88278977
88283256,88280667
88283257,88280668
88281648,88278979
88031453,88031356
88283258,88280669
88281649,88278980
88283259,88280670
88281650,88278981
88283260,88280671
88281651,88278982
88283261,88280672
88281652,88278983
88283262,88280673
88281653,88278984
88283263,88280674
88281654,88278985
88283264,88280675
88281655,88278986
88281656,88278987
88283265,88280676
88281657,88278988
88283266,88280677
88281658,88278989
88283267,88280678
88283268,88280679
88281659,88278990
88283269,88280680
88281660,88278992
88283270,88280681
88281661,88278993
88283271,88280682
88281662,88278994
88283272,88280685
88281663,88278995
88283273,88280686
88281664,88278996
88283274,88280687
88281665,88278997
88283275,88280688
88281666,88278998
88281667,88278999
88283276,88280689
88281668,88279000
88283277,88280690
88281669,88279001
88283278,88280691
88283279,88280692
88281670,88279002
88283280,88280693
88281671,88279003
88032546,88031346
88283281,88280694
88281672,88279004
88032547,88031347
88283282,88280695
88281673,88279005
88032548,88031348
88283283,88280696
88281674,88279006
88032549,88031349
88283284,88280697
88281675,88279007
88032550,88031350
88283285,88280698
88281676,88279008
88032551,88031351
88283286,88280699
88281677,88279009
88032552,88031352
88281678,88279010
88283287,88280700
88032553,88031353
88281679,88279011
88283288,88280701
88032554,88031354
88281680,88279012
88283289,88280702
88032555,88031355
88283290,88280703
88281681,88279013
88032556,88031357
88283291,88280704
88281682,88279014
88032557,88031358
88283292,88280705
88281683,88279015
88032558,88031359
88283293,88280706
88281684,88279016
88032559,88031360
88283294,88280707
88281685,88279017
88032560,88031361
88283295,88280708
88281686,88279018
88032561,88031362
88283296,88280709
88281687,88279019
88032562,88031363
88283297,88280710
88281688,88279020
88032563,88031369
88281689,88279023
88283298,88280711
88032564,88031364
88281690,88279024
88283299,88280712
88032565,88031365
88281691,88279025
88283300,88280713
88032566,88031366
88283301,88280714
88281692,88279026
88032567,88031367
88283302,88280715
88281693,88279027
88032568,88031368
88283303,88280716
88281694,88279028
88032569,88031370
88283304,88280717
88281695,88279029
88283305,88280718
88281696,88279030
88283306,88280719
88281697,88279031
88283307,88280720
88281698,88279032
88283308,88280721
88281699,88279033
88281700,88279034
88283309,88280722
88281701,88279035
88283310,88280723
88281702,88279036
88283311,88280724
88283312,88280725
88281703,88279037
88283313,88280726
88281704,88279038
88283314,88280727
88281705,88279039
88283315,88280728
88281706,88279040
88283316,88280729
88281707,88279041
88283317,88280730
88281708,88279042
88283318,88280731
88281709,88279043
88283319,88280732
88281710,88279044
88281711,88279045
88283320,88280735
88281712,88279046
88283321,88280736
88281713,88279047
88283322,88280737
88283323,88280738
88281714,88279048
88283324,88280739
88281715,88279049
88283325,88280740
88281716,88279050
88283326,88280741
88281717,88279051
88283327,88280742
88281718,88279052
88283328,88280743
88281719,88279053
88283329,88280744
88281720,88279055
88283330,88280745
88281721,88279056
88281722,88279057
88283331,88280746
88281723,88279058
88283332,88280747
88281724,88279059
88283333,88280748
88283334,88280749
88281725,88279060
88283335,88280750
88281726,88279061
88283336,88280751
88281727,88279062
88283337,88280752
88281728,88279063
88283338,88280753
88281729,88279064
88283339,88280754
88281730,88279065
88283340,88280755
88281731,88279066
88283341,88280756
88281732,88279067
88281733,88279068
88283342,88280757
88281734,88279069
88283343,88280758
88281735,88279070
88283344,88280759
88283345,88280762
88281736,88279071
88283346,88280763
88281737,88279072
88283347,88280764
88281738,88279073
88283348,88280765
88281739,88279074
88283349,88280766
88281740,88279075
88283350,88280767
88281741,88279076
88283351,88280768
88281742,88279077
88283352,88280769
88281743,88279078
88281744,88279079
88283353,88280770
88281745,88279080
88283354,88280772
88281746,88279081
88283355,88280773
88283356,88280774
88281747,88279082
88283357,88280775
88281748,88279083
88283358,88280776
88281749,88279084
88283359,88280777
88281750,88279085
88283360,88280778
88281751,88279086
88283361,88280779
88281752,88279087
88283362,88280780
88281753,88279088
88283363,88280782
88281754,88279089
88281755,88279090
88283364,88280783
88281756,88279091
88283365,88280784
88281757,88279092
88283366,88280785
88283367,88280786
88281758,88279093
88283368,88280787
88281759,88279094
88283369,88280788
88281760,88279095
88283370,88280789
88281761,88279096
88283371,88280790
88281762,88279097
88283372,88280791
88281763,88279098
88283373,88280792
88281764,88279099
88283374,88280793
88281765,88279100
88281766,88279101
88283375,88280794
88281767,88279102
88283376,88280795
88281768,88279103
88283377,88280796
88283378,88280797
88281769,88279104
88283379,88280798
88281770,88279105
88283380,88280799
88281771,88279108
88283381,88280800
88281772,88279109
88283382,88280801
88281773,88279110
88283383,88280802
88281774,88279111
88283384,88280803
88281775,88279112
88283385,88280804
88281776,88279113
88281777,88279114
88283386,88280805
88281778,88279115
88283387,88280806
88281779,88279116
88283388,88280807
88283389,88280808
88281780,88279117
88283390,88280809
88281781,88279118
88283391,88280810
88281782,88279119
88283392,88280811
88281783,88279120
88283393,88280812
88281784,88279121
88283394,88280813
88281785,88279122
88283395,88280814
88281786,88279123
88283396,88280815
88281787,88279124
88281788,88279125
88283397,88280816
88281789,88279126
88283398,88280817
88281790,88279127
88283399,88280818
88283400,88280819
88281791,88279128
88283401,88280820
88281792,88279129
88283402,88280821
88281793,88279130
88283403,88280822
88281794,88279131
88283404,88280823
88281795,88279132
88283405,88280824
88281796,88279133
88283406,88280825
88281797,88279134
88283407,88280826
88281798,88279135
88281799,88279136
88283408,88280827
88281800,88279137
88283409,88280828
88281801,88279138
88283410,88280829
88283411,88280830
88281802,88279139
88283412,88280831
88281803,88279140
88283413,88280832
88281804,88279141
88283414,88280833
88281805,88279142
88283415,88280834
88281806,88279143
88283416,88280835
88281807,88279144
88283417,88280836
88281808,88279146
88283418,88280837
88281809,88279147
88281810,88279148
88283419,88280838
88281811,88279149
88283420,88280839
88281812,88279150
88283421,88280840
88283422,88280842
88281813,88279151
88283423,88280845
88281814,88279152
88283424,88280846
88281815,88279153
88283425,88280847
88281816,88279154
88283426,88280848
88281817,88279155
88283427,88280849
88281818,88279156
88283428,88280850
88281819,88279159
88283429,88280851
88281820,88279160
88281821,88279161
88283430,88280852
88281822,88279162
88283431,88280853
88281823,88279163
88283432,88280854
88283433,88280855
88281824,88279164
88283434,88280856
88281825,88279165
88283435,88280857
88281826,88279166
88283436,88280858
88281827,88279167
88283437,88280859
88281828,88279168
88283438,88280860
88281829,88279170
88283439,88280861
88281830,88279171
88283440,88280862
88281831,88279172
88281832,88279173
88283441,88280863
88281833,88279174
88283442,88280864
88281834,88279175
88283443,88280865
88283444,88280866
88281835,88279176
88283445,88280867
88281836,88279177
88283446,88280868
88281837,88279178
88283447,88280869
88281838,88279179
88283448,88280870
88281839,88279180
88283449,88280871
88281840,88279181
88283450,88280872
88281841,88279182
88283451,88280873
88281842,88279183
88281843,88279184
88283452,88280874
88281844,88279185
88283453,88280875
88281845,88279186
88283454,88280876
88283455,88280877
88281846,88279187
88283456,88280878
88281847,88279188
88283457,88280879
88281848,88279189
88283458,88280880
88281849,88279190
88283459,88280881
88281850,88279191
88283460,88280882
88281851,88279192
88283461,88280883
88281852,88279193
88283462,88280884
88281853,88279194
88281854,88279195
88283463,88280885
88281855,88279196
88283464,88280886
88281856,88279197
88283465,88280887
88283466,88280888
88281857,88279198
88283467,88280889
88281858,88279199
88283468,88280890
88281859,88279200
88283469,88280891
88281860,88279201
88283470,88280892
88281861,88279202
88283471,88280893
88281862,88279203
88283472,88280894
88281863,88279204
88283473,88280895
88281864,88279205
88281865,88279206
88283474,88280896
88281866,88279207
88283475,88280897
88281867,88279208
88283476,88280898
88283477,88280899
88281868,88279209
88283478,88280900
88281869,88279210
88283479,88280901
88281870,88279211
88283480,88280902
88281871,88279212
88283481,88280903
88281872,88279213
88283482,88280904
88281873,88279214
88283483,88280905
88281874,88279215
88283484,88280906
88281875,88279216
88281876,88279217
88283485,88280907
88281877,88279218
88283486,88280908
88281878,88279219
88283487,88280909
88283488,88280910
88281879,88279220
88283489,88280911
88281880,88279221
88283490,88280912
88281881,88279224
88283491,88280913
88281882,88279225
88283492,88280914
88281883,88279226
88283493,88280915
88281884,88279227
88283494,88280916
88281885,88279228
88283495,88280917
88281886,88279231
88281887,88279232
88283496,88280918
88281888,88279233
88283497,88280919
88281889,88279234
88283498,88280920
88283499,88280921
88281890,88279235
88283500,88280922
88281891,88279236
88283501,88280923
88281892,88279237
88283502,88280924
88281893,88279238
88283503,88280925
88281894,88279239
88283504,88280926
88281895,88279240
88283505,88280927
88281896,88279241
88283506,88280928
88281897,88279242
88281898,88279243
88283507,88280929
88281899,88279244
88283508,88280930
88281900,88279245
88283509,88280931
88283510,88280932
88281901,88279246
88283511,88280933
88281902,88279247
88283512,88280934
88281903,88279248
88283513,88280935
88281904,88279249
88283514,88280936
88281905,88279250
88283515,88280937
88281906,88279251
88283516,88280938
88281907,88279252
88283517,88280939
88281908,88279253
88281909,88279254
88283518,88280940
88281910,88279255
88283519,88280941
88281911,88279256
88283520,88280942
88283521,88280943
88281912,88279257
88283522,88280944
88281913,88279258
88283523,88280945
88281914,88279260
88283524,88280946
88281915,88279261
88283525,88280947
88281916,88279262
88283526,88280948
88281917,88279263
88283527,88280949
88281918,88279264
88283528,88280950
88281919,88279265
88281920,88279266
88283529,88280951
88281921,88279267
88283530,88280952
88281922,88279268
88283531,88280953
88283532,88280954
88281923,88279269
88283533,88280955
88281924,88279270
88283534,88280956
88281925,88279271
88283535,88280957
88281926,88279272
88283536,88280958
88281927,88279273
88283537,88280959
88281928,88279274
88283538,88280960
88281929,88279275
88283539,88280961
88281930,88279276
88281931,88279277
88283540,88280962
88281932,88279278
88283541,88280963
88281933,88279279
88283542,88280964
88283543,88280965
88281934,88279280
88283544,88280966
88281935,88279281
88283545,88280967
88281936,88279282
88283546,88280968
88281937,88279283
88283547,88280969
88281938,88279284
88283548,88280970
88281939,88279285
88283549,88280971
88281940,88279286
88283550,88280972
88281941,88279287
88281942,88279288
88283551,88280973
88281943,88279289
88283552,88280974
88281944,88279290
88283553,88280975
88283554,88280976
88281945,88279291
88283555,88280977
88281946,88279292
88283556,88280978
88281947,88279293
88283557,88280979
88281948,88279294
88283558,88280980
88281949,88279295
88283559,88280981
88281950,88279296
88283560,88280982
88281951,88279297
88283561,88280983
88281952,88279298
88281953,88279299
88283562,88280984
88281954,88279300
88283563,88280985
88281955,88279301
88283564,88280986
88283565,88280987
88281956,88279302
88283566,88280988
88281957,88279303
88283567,88280989
88281958,88279304
88283568,88280990
88281959,88279305
88283569,88280991
88281960,88279306
88283570,88280992
88281961,88279307
88283571,88280993
88281962,88279308
88283572,88280994
88281963,88279309
88281964,88279310
88283573,88281013
88281965,88279311
88281966,88279312
88281967,88279313
88281968,88279314
88281969,88279317
88281970,88279318
88281971,88279319
88281972,88279320
88281973,88279321
88281974,88279322
88281975,88279323
88281976,88279324
88281977,88279325
88281978,88279326
88281979,88279327
88281980,88279328
88281981,88279329
88281982,88279330
88281983,88279331
88281984,88279332
88281985,88279333
88281986,88279334
88281987,88279335
88281988,88279336
88281989,88279337
88281990,88279338
88281991,88279339
88281992,88279340
88281993,88279341
88281994,88279342
88281995,88279343
88281996,88279344
88281997,88279346
88281998,88279347
88281999,88279348
88282000,88279349
88282001,88279350
88282002,88279351
88282003,88279352
88282004,88279353
88282005,88279354
88282006,88279355
88282007,88279356
88282008,88279357
88282009,88279358
88282010,88279359
88282011,88279360
88282012,88279361
88282013,88279362
88282014,88279363
88282015,88279364
88282016,88279365
88282017,88279368
88282018,88279369
88282019,88279370
88282020,88279371
88282021,88279372
88282022,88279373
88282023,88279374
88282024,88279375
88282025,88279376
88282026,88279377
88282027,88279378
88282028,88279379
88282029,88279380
88282030,88279381
88282031,88279382
88282032,88279383
88282033,88279384
88282034,88279385
88282035,88279386
88282036,88279387
88282037,88279388
88282038,88279389
88282039,88279390
88282040,88279391
88282041,88279392
88282042,88279393
88282043,88279394
88282044,88279395
88282045,88279396
88282046,88279397
88282047,88279398
88282048,88279399
88282049,88279400
88282050,88279401
88282051,88279402
88282052,88279403
88282053,88279404
88282054,88279405
88282055,88279406
88282056,88279407
88282057,88279408
88282058,88279409
88282059,88279410
88282060,88279411
88282061,88279412
88282062,88279413
88282063,88279414
88282064,88279415
88282065,88279416
88282066,88279417
88282067,88279418
88282068,88279419
88282069,88279420
88282070,88279421
88282071,88279422
88282072,88279423
88282073,88279424
88282074,88279425
88282075,88279429
88282076,88279430
88282077,88279431
88282078,88279432
88282079,88279433
88282080,88279434
88282081,88279435
88282082,88279436
88282083,88279437
88282084,88279438
88282085,88279439
88282086,88279440
88282087,88279441
88282088,88279442
88282089,88279443
88282090,88279444
88282091,88279445
88282092,88279446
88282093,88279447
88282094,88279448
88282095,88279449
88282096,88279450
88282097,88279451
88282098,88279452
88282099,88279453
88282100,88279454
88282101,88279455
88282102,88279456
88282103,88279457
88282104,88279458
88282105,88279459
88282106,88279460
88282107,88279461
88282108,88279462
88282109,88279463
88282110,88279464
88282111,88279465
88282112,88279466
88282113,88279467
88282114,88279468
88282115,88279469
88282116,88279470
88282117,88279471
88282118,88279472
88282119,88279473
88282120,88279474
88282121,88279475
88282122,88279476
88282123,88279477
88282124,88279478
88282125,88279479
88282126,88279480
88282127,88279481
88282128,88279482
88282129,88279483
88282130,88279484
88282131,88279485
88282132,88279486
88282133,88279487
88282134,88279488
88282135,88279489
88282136,88279490
88282137,88279491
88282138,88279492
88282139,88279493
88282140,88279494
88282141,88279495
88282142,88279496
88282143,88279497
88282144,88279498
88282145,88279499
88282146,88279500
88282147,88279501
88282148,88279502
88282149,88279503
88282150,88279504
88282151,88279505
88282152,88279506
88282153,88279507
88282154,88279508
88282155,88279509
88282156,88279513
88282157,88279514
88282158,88279515
88282159,88279516
88282160,88279517
88282161,88279518
88282162,88279519
88282163,88279520
88282164,88279521
88282165,88279522
88282166,88279523
88282167,88279524
88282168,88279525
88282169,88279526
88282170,88279527
88282171,88279528
88282172,88279529
88282173,88279530
88282174,88279531
88282175,88279532
88282176,88279533
88282177,88279534
88282178,88279535
88282179,88279536
88282180,88279537
88282181,88279538
88282182,88279539
88282183,88279540
88282184,88279541
88282185,88279542
88282186,88279543
88282187,88279544
88282188,88279545
88282189,88279546
88282190,88279547
88282191,88279548
88282192,88279549
88282193,88279550
88282194,88279551
88282195,88279552
88282196,88279553
88282197,88279554
88282198,88279555
88282199,88279556
88282200,88279557
88282201,88279558
88282202,88279559
88282203,88279560
88282204,88279561
88282205,88279562
88282206,88279563
88282207,88279564
88282208,88279565
88282209,88279566
88282210,88279567
88282211,88279568
88282212,88279569
88282213,88279570
88282214,88279571
88282215,88279572
88282216,88279575
88282217,88279576
88282218,88279577
88282219,88279578
88282220,88279579
88282221,88279580
88282222,88279581
88282223,88279582
88282224,88279583
88282225,88279584
88282226,88279585
88282227,88279586
88282228,88279587
88282229,88279588
88282230,88279589
88282231,88279590
88282232,88279591
88282233,88279592
88282234,88279593
88282235,88279594
88282236,88279595
88282237,88279596
88282238,88279597
88282239,88279598
88282240,88279599
88282241,88279600
88282242,88279601
88282243,88279602
88282244,88279603
88282245,88279604
88282246,88279605
88282247,88279606
88282248,88279607
88282249,88279608
88282250,88279609
88282251,88279610
88282252,88279611
88282253,88279612
88282254,88279613
88282255,88279614
88282256,88279616
88282257,88279618
88282258,88279619
88282259,88279620
88282260,88279621
88282261,88279622
88282262,88279624
88282263,88279625
88282264,88279626
88282265,88279627
88282266,88279628
88282267,88279629
88282268,88279630
88282269,88279631
88282270,88279632
88282271,88279633
88282272,88279634
88282273,88279637
88282274,88279638
88282275,88279639
88282276,88279640
88282277,88279641
88282278,88279642
88282279,88279643
88282280,88279644
88282281,88279645
88282282,88279646
88282283,88279647
88282284,88279648
88282285,88279649
88282286,88279650
88282287,88279651
88282288,88279652
88282289,88279653
88282290,88279654
88282291,88279655
88282292,88279656
88282293,88279657
88282294,88279658
88282295,88279659
88282296,88279660
88282297,88279661
88282298,88279662
88282299,88279663
88282300,88279664
88282301,88279665
88282302,88279666
88282303,88279667
88282304,88279668
88282305,88279669
88282306,88279670
88282307,88279671
88282308,88279672
88282309,88279673
88282310,88279675
88282311,88279676
88282312,88279677
88282313,88279678
88282314,88279679
88282315,88279680
88282316,88279681
88282317,88279682
88282318,88279683
88282319,88279684
88282320,88279685
88282321,88279686
88283177,88280588
88282322,88279687
88282323,88279688
88282324,88279689
88282325,88279690
88282326,88279691
88282327,88279692
88282328,88279693
88282329,88279694
88282330,88279695
88282331,88279696
88282332,88279697
88282333,88279698
88282334,88279699
88282335,88279700
88282336,88279701
88282337,88279702
88282338,88279703
88282339,88279704
88282340,88279705
88282341,88279706
88282342,88279707
88282343,88279708
88282344,88279709
88282345,88279712
88282346,88279713
88282347,88279714
88282348,88279715
88282349,88279716
88282350,88279717
88282351,88279718
88282352,88279719
88282353,88279720
88282354,88279721
88282355,88279722
88282356,88279723
88282357,88279724
88282358,88279725
88282359,88279726
88282360,88279727
